title,href,star,releasetime,score
1950他们正年轻,http://www.maoyan.com/films/1413319,"主演：薛英杰,叶发坤,雍卫太",2021-09-03,9.6
长津湖,http://www.maoyan.com/films/257706,"主演：吴京,易烊千玺,段奕宏",2021-09-30,9.5
我和我的父辈,http://www.maoyan.com/films/1417305,"主演：吴京,章子怡,徐峥",2021-09-30,9.5
五个扑水的少年,http://www.maoyan.com/films/1328693,"主演：辛云来,冯祥琨,李孝谦",2021-10-01,9.4
峰爆,http://www.maoyan.com/films/1356063,"主演：朱一龙,黄志忠,陈数",2021-09-17,9.4
远去的牧歌,http://www.maoyan.com/films/1236912,"主演：海拉提·哈木,玛尔江.巴依吐肯,丽娜·夏侃",2018-09-11,9.4
关于我妈的一切,http://www.maoyan.com/films/1360088,"主演：徐帆,张婧仪,许亚军",2021-09-19,9.3
皮皮鲁与鲁西西之罐头小人,http://www.maoyan.com/films/1298314,"主演：洪悦熙,庄则熙,田雨",2021-09-30,9.2
一点就到家,http://www.maoyan.com/films/1331267,"主演：刘昊然,彭昱畅,尹昉",2020-10-04,9.2
演员,http://www.maoyan.com/films/1447363,"主演：于蓝,王晓棠,秦怡",2021-10-30,9.1
